"Countries","ResidualCorrelation"
"EQGUINEA (NLS-2) and GHANA (OLS)",0.105933002517451
"ERITREA (OLS) and GHANA (OLS)",-0.0110520883251911
"ETHIOPIA (NLS-2) and GHANA (OLS)",0.0269029129413743
"GABON (NLS-1) and GHANA (OLS)",-0.244028438900634
"GAMBIA (NLS-1) and GHANA (OLS)",-0.211764560010182
"ALGERIA (NLS-1) and GUINEA (NLS-1)",-0.0494591415357057
"ANGOLA (OLS) and GUINEA (NLS-1)",0.0281830504608119
"BENIN (NLS-1) and GUINEA (NLS-1)",0.157048696414133
"BOTSWANA (NLS-1) and GUINEA (NLS-1)",0.259584479300031
"BURKINAFASO (NLS-1) and GUINEA (NLS-1)",0.218335363410457
"BURUNDI (NLS-1) and GUINEA (NLS-1)",0.0195421497772375
"CABOVERDE (OLS) and GUINEA (NLS-1)",0.0423121620855802
"CAMEROON (NLS-1) and GUINEA (NLS-1)",0.0913202403175392
"CAR (NLS-2) and GUINEA (NLS-1)",0.0140420194493428
"CHAD (NLS-1) and GUINEA (NLS-1)",0.0735650898618117
"COMOROS (NLS-1) and GUINEA (NLS-1)",-0.0783480696540171
"CONGODR (NLS-2) and GUINEA (NLS-1)",0.109290192279301
"CONGOREPUB (NLS-1) and GUINEA (NLS-1)",-0.1582655484738
"DJIBOUTI (NLS-1) and GUINEA (NLS-1)",0.0164622132108961
"EGYPT (NLS-1) and GUINEA (NLS-1)",0.0627381854696731
"EQGUINEA (NLS-2) and GUINEA (NLS-1)",-0.0370743766446298
"ERITREA (OLS) and GUINEA (NLS-1)",-0.1711249523357
"ETHIOPIA (NLS-2) and GUINEA (NLS-1)",0.0663798948086372
"GABON (NLS-1) and GUINEA (NLS-1)",0.0154649004487543
"GAMBIA (NLS-1) and GUINEA (NLS-1)",-0.0214584491713009
"GHANA (OLS) and GUINEA (NLS-1)",0.227712539246177
"ALGERIA (NLS-1) and GUINEABISSAU (NLS-1)",-0.201562226932727
"ANGOLA (OLS) and GUINEABISSAU (NLS-1)",-0.201130989552725
"BENIN (NLS-1) and GUINEABISSAU (NLS-1)",-0.0447764047107525
"BOTSWANA (NLS-1) and GUINEABISSAU (NLS-1)",-0.122786481555885
"BURKINAFASO (NLS-1) and GUINEABISSAU (NLS-1)",-0.00744590255023026
"BURUNDI (NLS-1) and GUINEABISSAU (NLS-1)",-0.16588810520771
"CABOVERDE (OLS) and GUINEABISSAU (NLS-1)",-0.0176711128655337
"CAMEROON (NLS-1) and GUINEABISSAU (NLS-1)",-0.0701996348899614
"CAR (NLS-2) and GUINEABISSAU (NLS-1)",-0.0716278483262865
"CHAD (NLS-1) and GUINEABISSAU (NLS-1)",-0.218031394551575
"COMOROS (NLS-1) and GUINEABISSAU (NLS-1)",0.166053886987418
"CONGODR (NLS-2) and GUINEABISSAU (NLS-1)",-0.0774738941732988
"CONGOREPUB (NLS-1) and GUINEABISSAU (NLS-1)",0.11458902327559
"DJIBOUTI (NLS-1) and GUINEABISSAU (NLS-1)",0.0356776319940609
"EGYPT (NLS-1) and GUINEABISSAU (NLS-1)",-0.0407214745013909
"EQGUINEA (NLS-2) and GUINEABISSAU (NLS-1)",0.0642559266381361
"ERITREA (OLS) and GUINEABISSAU (NLS-1)",0.231642102206066
"ETHIOPIA (NLS-2) and GUINEABISSAU (NLS-1)",0.140781572694111
"GABON (NLS-1) and GUINEABISSAU (NLS-1)",0.0704136164612319
"GAMBIA (NLS-1) and GUINEABISSAU (NLS-1)",-0.116714943569898
"GHANA (OLS) and GUINEABISSAU (NLS-1)",-0.0510376284730144
"GUINEA (NLS-1) and GUINEABISSAU (NLS-1)",0.0676824672345825
"ALGERIA (NLS-1) and IVORYCOAST (NLS-1)",0.174486468583589
"ANGOLA (OLS) and IVORYCOAST (NLS-1)",0.051977259354581
"BENIN (NLS-1) and IVORYCOAST (NLS-1)",-0.0931707525464372
"BOTSWANA (NLS-1) and IVORYCOAST (NLS-1)",-0.0886323030071923
"BURKINAFASO (NLS-1) and IVORYCOAST (NLS-1)",0.229586712909169
"BURUNDI (NLS-1) and IVORYCOAST (NLS-1)",0.0467373053301388
"CABOVERDE (OLS) and IVORYCOAST (NLS-1)",-0.143089207449953
"CAMEROON (NLS-1) and IVORYCOAST (NLS-1)",0.0786926664332393
"CAR (NLS-2) and IVORYCOAST (NLS-1)",-0.0621676790949209
"CHAD (NLS-1) and IVORYCOAST (NLS-1)",-0.14340327406542
"COMOROS (NLS-1) and IVORYCOAST (NLS-1)",-0.123687969098819
"CONGODR (NLS-2) and IVORYCOAST (NLS-1)",-0.028287894156967
"CONGOREPUB (NLS-1) and IVORYCOAST (NLS-1)",0.144451400117759
"DJIBOUTI (NLS-1) and IVORYCOAST (NLS-1)",-0.00295760044039109
"EGYPT (NLS-1) and IVORYCOAST (NLS-1)",-0.155020891028383
"EQGUINEA (NLS-2) and IVORYCOAST (NLS-1)",-0.0126214273885117
"ERITREA (OLS) and IVORYCOAST (NLS-1)",0.133471240707559
"ETHIOPIA (NLS-2) and IVORYCOAST (NLS-1)",0.0557255272069246
"GABON (NLS-1) and IVORYCOAST (NLS-1)",0.152314433000802
"GAMBIA (NLS-1) and IVORYCOAST (NLS-1)",0.0687059051033658
"GHANA (OLS) and IVORYCOAST (NLS-1)",-0.0281326525010633
