yr,algeria,angola,benin,botswana,burkinafaso,burundi,cameroon,car,chad,comoros,congodr,congorepub,djibouti,egypt,eqguinea,ethiopia,gabon,gambia,guinea,guineabissau,ivorycoast,kenya,lesotho,liberia,libya,madagascar,malawi,mali,marocco,mozambique,namibia,niger,nigeria,rwanda,saotome,seychelles,sierraleone,somalia,southafrica,tanzania,tunisia,zambia,zimbabwe
 1996.000,-0.020978,-0.059157,-0.000770, 0.011597, 0.030702,-0.098728, 0.005040,-0.073588, 0.021093,-0.027870, 0.047905, 0.019763,-0.007383,-0.007100, 0.168717, 0.078402, 0.048914,-0.034215, 0.008397, 0.038111, 0.033041, 0.033291, 0.038482, 0.107285,-0.003884, 0.012245, 0.014231,-0.009353, 0.022056, 0.187261,-0.002405,-9.82E-05, 0.021331,-0.021851,-0.046098,-0.020066, 0.046972, 0.043330, 0.010695, 0.005011, 0.018377, 0.043209, 0.083563
 1997.000,-0.054763, 0.029860,-0.003112,-0.030857, 0.014995,-0.045100,-0.005001, 0.000421,-0.000447, 0.019186,-0.031239,-0.025755, 0.018510,-0.003469, 0.525820,-0.013983, 0.051663,-0.023293,-0.000164, 0.077366, 0.004490,-0.031111, 0.012875, 0.493195, 0.012654,-0.025333,-0.002087, 0.009904,-0.014988, 0.067907,-0.016756,-0.016511,-0.015657, 0.026582,-0.055085, 0.026135,-0.040565, 0.091670,-0.004565,-0.001424, 0.010220, 0.016528,-0.017328
 1998.000, 0.015253, 0.021736,-0.017231, 0.056816, 0.017719, 0.010321,-0.037393, 0.010854, 0.052965,-0.004442, 0.014601, 0.028878, 0.007613,-0.030692,-0.039908,-0.066538, 0.042491,-0.011924,-0.010869,-0.080524, 0.016442,-0.000739,-0.016407,-0.054622, 0.004996,-0.025839,-0.030331, 0.015106, 0.017938, 0.077622,-0.013752, 0.045030,-0.022062,-0.054324,-0.020455, 0.004236,-0.023338,-0.029033,-0.018051, 0.001545, 0.011543,-0.033265, 0.001816
 1999.000, 0.004717, 0.016643,-0.007985,-0.017103, 0.025525,-0.044205, 0.012479, 9.79E-05,-0.050650,-0.004383,-0.036902,-0.055163, 0.018902, 0.019554,-0.037188,-0.040587,-0.076354, 0.003571, 0.007725,-0.036222,-0.010517,-0.018942, 0.018416, 0.034532, 0.014605,-0.013170, 0.049789,-0.009983, 0.014796, 0.040006,-0.015111,-0.033551,-0.050001,-0.076146,-0.006530, 0.042346,-0.075769, 0.079042, 0.000546,-0.001035,-9.10E-05,-0.018906,-0.037958
 2000.000, 0.021752, 0.002370,-2.83E-05,-0.016189,-0.024260,-0.046404,-0.004983,-0.064451,-0.045392, 0.075851,-0.073662, 0.056178,-0.005797, 0.006346,-0.035832, 0.016788,-0.001749, 0.025871,-0.007436, 0.036718,-0.032416,-0.030829, 0.008847, 0.163753, 0.048694, 0.014766, 0.028319,-0.062026,-0.026422,-0.027079,-0.015206,-0.045244,-0.021029,-0.016980,-0.017719, 0.046146,-0.017698, 0.015322, 0.007419,-0.004648,-0.002811,-0.017065,-0.034501
 2001.000, 0.010273,-0.096234, 0.002896, 0.032606,-0.001841,-0.020772,-0.020049, 0.002358, 0.014901, 0.010192,-0.036694,-0.033983, 0.012163,-0.011703, 0.287703, 0.022356, 0.004580, 0.030635, 0.013833, 0.022939,-0.012514, 0.001264,-0.003198,-0.027272, 0.003762, 0.075559,-0.079457, 0.010767, 0.001918, 0.054993,-0.023516, 0.034084,-0.050534, 0.021609, 0.000442,-0.014203,-0.136949, 0.055583,-0.003726, 0.012043,-0.007979,-0.001312,-0.037540
 2002.000,-0.032109,-0.017409, 0.002160, 0.032185,-0.023829,-0.001042,-0.002796, 0.019514, 0.068999, 0.008938, 0.043382,-0.004619, 0.017217,-0.021143, 0.078398,-0.071286,-0.012210,-0.035900, 0.009315, 0.036294,-0.032973,-0.024025,-0.025514,-0.035294,-0.004752,-0.104068,-0.010383, 0.007103, 0.015145, 0.011341, 0.000854, 0.014806,-0.071992, 0.116338,-0.010552, 0.002944, 0.130368, 0.055324, 0.006857, 0.007809,-0.033398,-0.013405,-0.131481
 2003.000, 0.040585, 0.011364,-0.009669, 0.023990, 0.004810,-0.054907, 0.025135,-0.057164,-0.021522, 0.002673,-0.028205,-0.044797,-0.002504, 0.002642, 0.029849,-0.077339,-0.003802, 0.018950,-0.005137,-0.015713,-0.033206,-0.012561,-0.023922,-0.331783, 0.129992, 0.004518, 0.008178, 0.048023, 0.020285, 0.062464, 0.003852,-0.003191, 0.047933, 0.075555, 0.027841,-0.059915, 0.017931, 0.032386,-0.001868, 0.008762,-0.001533, 0.057854,-0.070871
 2004.000, 0.041843,-0.001462,-0.000179, 0.007036,-0.019122, 0.005518, 0.033474, 0.039126, 0.209966,-0.003590, 0.019316,-0.020385,-0.001670,-0.004668, 0.200186, 0.066633,-0.020218, 0.031652,-0.010211,-0.090515,-0.013972,-0.003338, 0.016323, 0.114582, 0.092146, 0.023651, 0.022089, 0.014533, 0.005627, 0.036514, 0.070650,-0.027326, 0.205967,-0.074701, 0.016914,-0.084073, 0.003668, 0.018576, 0.015143, 0.008620, 0.017571, 0.051038,-0.017514
 2005.000, 0.025964, 0.023955,-0.017132, 0.030779, 0.012761,-0.031619,-0.025748, 0.000337, 0.100670, 0.000895, 0.018259, 0.005707,-0.012985,-0.004614, 0.015023, 0.058675,-0.001904,-0.020908,-0.004903,-0.041494,-0.007396, 0.005343, 0.037210,-0.047003, 0.136706, 0.023851,-0.039138, 0.002014,-0.001005, 0.035192,-0.011569, 0.001232,-0.053937,-0.036517, 0.021542,-0.006893,-0.015126, 0.009311, 0.011694, 0.003123,-0.002746, 0.028598,-0.057437
